id,brand,food_name,serving_size,weight_g,phe_mg,mg/g,protein_g,Exch,calories_kcal
1,Abbott,"Phenex-1, dry, unpacked",12.5 TBSP,100,0,0,0,0,480
2,Abbott,"Phenex-2, Unflavored or Vanilla, dry, unpacked",12.5 TBSP,100,0,0,0,0,410
3,Baby Gourmet,Banana Fig Oatmeal & Greek Yogurt,1 Pouch,128,130,1.02,3,8.7,110
4,Baby Gourmet,Fruity Greens Mushies,1/4 Cup,7,11,1.63,0.3,0.8,30
5,Baby Gourmet,"Harvest Pear, Pumpkin & Bana",1 Pouch,128,29,0.23,0.8,1.9,80
6,Baby Gourmet,Juicy Pear & Garden Greens,1 Pouch,128,31,0.24,0.8,2.1,80
7,Baby Gourmet,"Orchard Apple, Carrot & Prune",1 Pouch,128,17,0.13,0.6,1.1,70
8,Baby Gourmet,"Pear, Pumpkin & Prune",1 Pouch,128,66,0.52,2,4.4,80
9,Baby Gourmet,Ripe Mango & Avocado with Oats,1 Pouch,128,45,0.35,1,3,100
10,Baby Gourmet,"Summer Cherry, Banana & Spinach",1 Pouch,128,63,0.49,2,4.2,140
11,Baby Gourmet,Vanilla Banana Berry Risotto,1 Pouch,128,78,0.61,2,5.2,120
12,Baby Gourmet,"Wildberry, Rhubarb, Kale & Quinoa",1 Pouch,128,71,0.56,2,4.7,120
13,Beechnut,"Apple & Blackberry, Naturals Just, Stage 2",120 g,120,16,0.13,0.5,1,70
14,Beechnut,"Apple & Kale, Naturals Just, Stage 2",120 g,120,18,0.15,0.6,1.2,60
15,Beechnut,"Apple & Pumpkin, Naturals, Stage 2",120 g,120,16,0.13,0.5,1,70
16,Beechnut,"Apple Cinnamon & Granola, Stage 2, Organic",1/4 Cup,60,10,0.17,0.3,0.7,35
17,Beechnut,"Apple Kiwi & Spinach, Just, Stage 2, Organic",60 g,60,10,0.17,0.3,0.7,30
18,Beechnut,"Apple Mango & Carrot Puree, Fruities on the Go",1 pouch,113,15,0.13,0.5,1,70
19,Beechnut,"Apple Peach & Strawberry Puree, Fruities on the Go",1 pouch,113,11,0.1,0.4,0.7,60
20,Beechnut,"Apple Raspberry & Avocado, Just, Stage 2, Organic",60 g,60,10,0.17,0.3,0.7,30
21,Beechnut,"Apple Sweet Potato & Pineapple Puree, Fruities on the Go",1 pouch,113,24,0.21,0.6,1.6,80
22,Beechnut,"Banana Apple & Strawberry Puree, Fruities on the Go",1 Pouch,113,27,0.24,0.7,1.8,80
23,Beechnut,"Banana Blueberry & Green Beans, Naturals, Stage 2",1/4 Cup,60,13,0.22,0.3,0.9,45
24,Beechnut,"Banana Cinnamon & Granola, Stage 2, Organic",60 g,60,30,0.5,0.7,2,45
25,Beechnut,"Banana Mango & Sweet Potato, Stage 2, Organic",60 g,60,30,0.5,0.7,2,50
26,Beechnut,"Banana Orange Pineapple, Naturals, Stage 2",1/4 Cup,60,11,0.18,0.3,0.7,45
27,Beechnut,"Banana Pear & Sweet Potato Puree, Fruities on the Go",1 Pouch,113,46,0.41,1,3.1,90
28,Beechnut,"Bananas, Stage 1",120 g,120,38,0.32,1.3,2.6,120
29,Beechnut,"Beets Pear Pomegranate, Naturals, Stage 2",1/4 cup,60,10,0.17,0.4,0.7,35
30,Beechnut,"Butternut Squash & Sweet Corn, Just , Stage 2, Organic",60 g,60,50,0.83,1.3,3.3,40
31,Beechnut,"Butternut Squash, Naturals Just, Stage 1",1/4 Cup,60,23,0.38,0.4,1.5,25
32,Beechnut,"Carrot Corn & Pumpkin, Naturals Just, Stage 2",120 g,120,48,0.4,1.2,3.2,60
33,Beechnut,"Carrot Zucchini & Pear Blend, Veggies on the Go",1 pouch,113,23,0.2,0.6,1.5,50
34,Beechnut,"Oatmeal, Whole Grain Cereal, Stage 1",1/4 cup,15,102,6.8,2,6.8,60
35,Beechnut,"Pear & Blueberry, Naturals Just, Stage 2",1/4 cup,60,4,0.007,0.1,0.3,35
36,Beechnut,"Pear Kale & Cucumber, Stage 2, Organic",60 g,60,20,0.33,0.5,1.3,35
37,Beechnut,"Peas, Sweet, Stage 2",4 oz,113,116,1.03,4.4,7.7,60
38,Beechnut,"Pumpkin Zucchini & Apple Blend, Veggies on the Go",1 pouch ,99,23,0.23,0.9,1.5,50
39,Beechnut,"Rice Cereal Single Grain, Stage 1",1/4 cup,15,59,3.93,1.2,3.9,50
40,Beechnut,"Spinach Zucchini & Peas, Naturals Just, Stage 2",120 g,120,101,0.84,2.5,6.7,40
41,Beechnut,"Squash Peas & Pear Blend, Veggies on the Go",1 pouch,99,65,0.66,1.8,4.3,50
42,Beechnut,"Sweet Corn & Green Beans, Naturals Just, Stage 2",120 g,120,94,0.78,2.3,6.2,70
43,Beechnut,"Sweet Potatoes, Stage 1",1 /4 cup,60,31,0.52,0.5,2.1,60
44,Beechnut,"Zucchini Spinach & Banana Blend, Veggies on the Go",1 pouch ,99,37,0.37,1.1,2.5,45
45,Buddy Fruits,Apple Banana,1 pouch,90,20,0.23,0.6,1.4,60
46,Buddy Fruits,Apple Banana Passion Mango,1 pouch,90,20,0.22,0.6,1.3,50
47,Buddy Fruits,Apple Blueberry,1 pouch,90,17,0.19,0.6,1.1,50
48,Buddy Fruits,Apple Carrot Orange,1 pouch,90,15,0.17,0.6,1,50
49,Buddy Fruits,Apple Cinnamon,1 pouch,90,15,0.17,0.6,1,60
50,Buddy Fruits,Apple Multi-fruit,1 pouch,90,19,0.21,0.6,1.3,60
51,Buddy Fruits,Apple Pear Spinach,1 pouch,90,57,0.63,1.8,3.8,45
52,Buddy Fruits,Apple Strawberry,1 pouch,90,16,0.18,0.6,1.1,60
53,Buddy Fruits,Apple Sweet Potato Blueberry,1 pouch,90,68,0.76,1.8,4.5,60
54,Buddy Fruits,Orchard Blend,1 pouch,90,14,0.16,0.6,0.9,45
55,Cambrooke,"Glytactin BetterMilk 15, Orange or Strawberry Crème",1.8 oz,52,23,0.44,0.5,1.5,160
56,Ella's Kitchen,Apples & Straberries,4 oz,120,16,0.13,0.6,1,54
57,Ella's Kitchen,Apples Carrots & Parsnips,4 oz,120,24,0.2,1,1.6,54
58,Ella's Kitchen,Apples Carrots Prunes & Butternut Squash,4 oz,120,24,0.2,0.8,1.6,70
59,Ella's Kitchen,Apples Sweet Potatoes Pumpkin & Blueberries,4 oz,120,36,0.3,1,2.4,63
60,Ella's Kitchen,Bananas & Apples,4 oz,120,29,0.24,0.8,1.9,91
61,Ella's Kitchen,Peaches & Bananas,4 oz,120,36,0.3,1.1,2.4,75
62,Ella's Kitchen,Pears Mangoes & Papayas,1 pouch,99,14,0.14,0.5,0.9,60
63,Ella's Kitchen,Pears Peas & Broccoli,4 oz,120,105,0.88,3,7,68
64,Ella's Kitchen,"Smoothie Fruit, The Purple One",3 oz,90,24,0.27,0.7,1.6,65
65,Ella's Kitchen,"Smoothie Fruit, The Red One",3 oz,90,17,0.19,0.5,1.2,52
66,Gerber,"Animal Crackers, Cinnamon Graham",7 g,7,20,2.8,0.4,1.3,30
67,Gerber,"Apple Avocado, 2nd Foods",4 oz ,113,13,0.12,0.4,0.9,60
68,Gerber,"Apple Banana with Mixed Cereal, 2nd Foods",4 oz,113,57,0.5,1.1,3.8,90
69,Gerber,"Apple Berry Mixed Cereal, 2nd Foods",113 g,113,45,0.4,0.9,3,76
70,Gerber,"Apple Blueberry, 2nd Foods",4 oz,113,8,0.07,0.3,0.5,60
71,Gerber,"Apple Harvest, Wagon Wheels",7 g,7,24,3.4,0.5,1.6,25
72,Gerber,"Apple Peach Squash, 2nd Foods",113 g,113,34,0.3,0.5,2.3,60
73,Gerber,"Apple Prune, 2nd Foods, Organic",1 jar,113,18,0.16,0.5,1.2,60
74,Gerber,"Apple Straberry Banana, 2nd Foods",4 oz,113,12,0.11,0.4,0.8,60
75,Gerber,"Apple Sweet Potato, Lil' Crunchies",16 Pieces,7,18,2.57,0.4,1.2,35
76,Gerber,"Apple Zucchini Guava & Kale with Peas, Homestyle Purees",4 oz,120,27,0.23,1.1,1.8,50
77,Gerber,"Apple Zucchini Spinach Strawberries, 2nd Foods, Organic",1 pouch,99,20,0.2,0.5,1.3,45
78,Gerber,"Apple, 1st Foods",1 Pack,71,7,0.1,0.2,0.5,45
79,Gerber,"Apple, 2nd Foods",113 g,113,11,0.1,0.3,0.7,60
80,Gerber,"Apples & Cherries, 2nd Foods",4 oz,113,11,0.1,0.3,0.8,70
81,Gerber,"Apples Carrots & Squash, 2nd Foods, Organic",1 pouch ,99,22,0.22,0.5,1.4,50
82,Gerber,"Apricot with Mixed Freuit, 2nd Foods",3.5 oz,99,26,0.26,0.7,1.7,60
83,Gerber,"Banana Apple Pear, 2nd Foods",3.5 oz,99,40,0.4,0.9,2.6,80
84,Gerber," Banana Blackberry Blueberry, 2nd Foods",4 oz,113,64,0.57,1.3,4.3,100
85,Gerber,"Banana Blueberry Blackberry Oatmeal, 2nd Foods, Organic",1 pouch,99,69,0.7,1.4,4.6,77
86,Gerber,Banana Blueberry Grabbers,1 pouch,120,48,0.4,1.2,3.2,100
87,Gerber,"Banana Carrot Mango, 2nd Foods",113 g,113,57,0.5,0.9,3.8,70
88,Gerber,"Banana Cream, Teether Wheels",4 pieces,7,23,3.29,0.5,1.5,25
89,Gerber,"Banana Mango, 2nd Foods, Organic",1 pouch ,99,50,0.51,1.1,3.3,90
90,Gerber,"Banana Orange Medley, 2nd Foods",3.5 oz,99,39,0.39,1,2.6,90
91,Gerber,"Banana Plum Grape, 2nd Foods",3.5 oz ,99,43,0.43,1,2.8,100
92,Gerber,"Banana Squash, 2nd Foods, Organic",1 pouch,99,50,0.5,0.9,3.3,80
93,Gerber,"Banana, 1st Foods",1 pack,71,35,0.49,0.8,2.3,60
94,Gerber,"Banana, 2nd Foods",4 oz,113,55,0.49,1.2,3.7,90
95,Gerber,"Beet, Parsnip and Yellow Carrot, Ready to Blend",1 pouch (4 oz),113,14,0.12,1,0.9,120
96,Gerber,Butternut Squash Apple & Mango with Coriander,4 oz,120,5,0.04,1.1,0.3,70
97,Gerber,"Butternut Squash, 1st Foods",1 pack,71,38,0.54,0.9,2.5,25
98,Gerber,"Butternut Squash, 2nd Foods",113 g,113,57,0.5,0.8,3.8,40
99,Gerber,"Carrot Sweet Potato Pea, 2nd Foods",4 oz,113,80,0.71,1.3,5.3,50
100,Gerber,"Carrots, 1st Foods",1 pack,71,13,0.18,0.4,0.9,30
101,Gerber,"Carrots, 2nd Foods",3.5 oz,99,18,0.18,0.5,1.2,40
102,Gerber,"Cereal, Oatmeal",1/4 cup,15,128,8.53,2.4,8.5,60
103,Gerber,"Cereal, Oatmeal, DHA & Probiotic",1/4 cup,15,113,7.53,2.3,7.5,60
104,Gerber,"Cereal, Oatmeal, Organic",1/4 cup,15,132,8.8,2,8.8,60
105,Gerber,"Cereal, Rice",1/4 cup,15,59,3.93,1.2,3.9,60
106,Gerber,"Cereal, Whole Wheat",1/4 cup,15,84,5.6,1.7,5.6,60
107,Gerber,"Cereal, Whole Wheat Apple Blueberry, Lil' Bits",15 g,15,72,4.8,1.5,4.8,60
108,Gerber,"Cookiews, Arrowroot",1 cookie,5,17,3.4,0.3,1.1,20
109,Gerber,"Cookies, Banana",1 cookie,8,20,2.5,0.7,1.3,20
110,Gerber,"Date and Carrot Fruit & Veggie Bar, Organic",1 bar,24,46,1.9,1.1,3,80
111,Gerber,"Fruit & Veggie Melts, Truly Tropical Blend",32 pieces,7,19,2.714,0.5,1.3,25
112,Gerber,"Gardon Tomato, Graduates Lil' Crunchies",16 pieces,7,20,2.86,0.4,1.3,35
113,Gerber,"Grain Bar, Strawberry",1 bar,19,20,1.05,1,1.3,70
114,Gerber,"Grain Bar, Strawberry Banana",19 g,19,34,1.8,0.7,2.3,70
115,Gerber,"Green Beans, 1st Foods",1 pack,71,49,0.69,1.3,3.3,25
116,Gerber,"Green Beans, 2nd Foods",4 oz,113,79,0.7,2.2,5.3,40
117,Gerber,"Lil Mixers, Apple Blueberry & Puffs",3.6 oz,102,21,0.21,0.5,1.4,70
118,Gerber,"Lil Mixers, Apple Strawberry Banana & Puffs",3.6 oz,102,25,0.25,0.6,1.7,70
119,Gerber,"Lil Crunchies, Mild Cheddar",16 Pieces,7,27,3.86,0.5,1.8,35
120,Gerber,"Lil Crunchies, Ranch",16 Pieces,7,20,2.86,0.4,1.3,35
121,Gerber,"Parsnip, Yellow Carrot and Orange Carrot, Ready to Blend",1 pouch (4 oz),113,14,0.12,1,0.9,110
122,Gerber,"Pea Mango Corn, Ready to Blend",1 pouch (4 oz),113,128,1.13,3.4,8.5,180
123,Gerber,"Peaches, 1st Foods",1 pack,71,13,0.18,0.4,0.9,50
124,Gerber,"Peaches, 2nd Foods",3.5 oz,99,21,0.21,1.5,1.4,70
125,Gerber,"Pear Parsnip with Vanilla, Homestyle Purees",4 oz,120,10,0.08,0.7,0.7,70
126,Gerber,"Pear Peach Oatmeal, 2nd Foods, Organic",1 pouch,99,30,0.3,0.8,2,80
127,Gerber,"Pear Peach Strawberry, 2nd Foods",1 pouch ,99,10,0.1,0.9,0.7,56
128,Gerber,"Pear Pineapple, 2nd Foods",3.5 oz,99,13,0.13,0.4,0.9,60
129,Gerber,"Pear Spinach, 2nd Foods, Organic",1 pouch,99,30,0.3,0.5,2,60
130,Gerber,"Pear Zucchini Corn, 2nd Foods",113 g,113,23,0.2,0.8,1.5,70
131,Gerber,"Pears Cinnamon w/ Oatmeal, 2nd Foods",4 oz,113,57,0.5,1.4,3.8,80
132,Gerber,"Pears, 1st Foods",1 pack,71,9,0.13,0.3,0.6,50
133,Gerber,"Pears, 2nd Foods",3.5 oz,99,12,0.12,0.4,0.8,70
134,Gerber,"Peas, 1st Foods",2.5 oz,71,99,1.4,1.8,6.6,50
135,Gerber,"Peas, 2nd Foods",4 oz,113,158,1.4,2.9,10.5,50
136,Gerber,"Prunes with Apples, 2nd Foods",3.5 oz,99,32,0.32,0.7,2.1,70
137,Gerber,"Prunes, 1st Foods",1 pack,71,41,0.58,1.3,2.7,60
138,Gerber,"Puffs, Apple Cinnamon",1/2 Cup,7,25,3.57,0.5,1.7,25
139,Gerber,"Puffs, Apple, Organic",1/2 Cup,7,14,2,0.4,0.9,25
140,Gerber,"Puffs, Banana, Blueberry or Vanilla",1/2 Cup,7,24,3.43,0.5,1.6,25
141,Gerber,"Puffs, Peach, Strawberry Apple, or Sweet Potato",1/2 Cup,7,25,3.57,0.5,1.7,25
142,Gerber,"Pumpkin Banana Carrot, 2nd Foods, Organic",1 pouch,99,59,0.6,1.5,4,60
143,Gerber,"Squash Apple Corn, 2nd Foods",113 g,113,57,0.5,1.4,3.8,60
144,Gerber,"Strawberry Banana Squeezable Fruit w/ Yogurt, Graduate Grabbers",1 pouch,120,84,0.7,1.6,5.6,100
145,Gerber,"Strawberry Banana, Lil' Bits Oatmeal Cereal",1/4 cup,15,90,6,1.7,6,60
146,Gerber,"Sweet Potato Apple Pumpkin, 2nd Foods",113 g,113,45,0.4,1,3,60
147,Gerber,"Sweet Potato Carrot, Ready to Blend",1 pouch (4 oz),113,93,0.82,1.5,6.2,150
148,Gerber,"Sweet Potato Corn, 2nd Foods",3.5 oz,99,79,0.8,1.6,5.3,70
149,Gerber,"Sweet Potatoes, 1st Foods",1 pack,71,49,0.69,1.2,3.3,50
150,Gerber,"Sweet Potatoes, 2nd Foods",3.5 oz,99,69,0.7,1.2,4.6,70
151,Gerber,"Teethers, Banana Peach",4 wafers,8,22,2.75,0.4,1.5,30
152,Gerber,"Teethers, Straberry Apple Spinach",4 rusks,8,23,2.87,0.4,1.5,30
153,Gerber,Vanilla Custard Pudding with Banana,3.5 oz,99,109,1.1,2.6,7.3,110
154,Gerber,"Veggie Dip, Graduates Lil' Crunchies",16 pieces,7,20,2.86,0.4,1.3,35
155,Gerber,"Very Berry Blend, Graduates Fruit & Veggie Melts",32 pieces,7,18,2.57,0.5,1.2,25
156,Gerber,"Yogurt Melts, Banana Strawberry, Organic",7 g,7,60,8.6,1.4,4,30
157,Gerber,"Yogurt Melts, Banana Vanilla",7 g,7,57,8.1,1.3,3.8,30
158,Gerber,"Yogurt Melts, Mixed Berries",1/4 Cup,7,58,8.29,1.2,3.9,30
159,Gerber,"Yogurt Melts, Peach",1/4 Cup,7,58,8.29,1.2,3.9,30
160,Gerber,"Yogurt Melts, Strawberry",1/4 Cup,7,58,8.29,1.2,3.9,30
161,GoGoSqueez,"AppleApple, Peach, Pear, Pineapple, Grape, or Pumpkin",90 g,90,9,0.1,0.3,0.6,60
162,GoGoSqueez,AppleBanana,90 g,90,20,0.22,0.4,1.3,60
163,GoGoSqueez,AppleCinnamon,90 g,90,8,0.09,0.3,0.5,50
164,GoGoSqueez,Fruit and VeggieZ Boulder Berry Apple,90 g,90,18,0.2,0.5,1.2,60
165,GoGoSqueez,Fruit and VeggieZ Greatful Grape,90 g,90,18,0.2,0.5,1.2,60
166,GoGoSqueez,Fruit and VeggieZ Pedal Pedal Peach,90 g,90,27,0.3,0.7,1.8,60
167,GoGoSqueez,Fruit and VeggieZ Zippin Zingin Pear,90 g,90,15,0.17,0.5,1,70
168,GoGoSqueez,"Gimme Five, APpleBerry, AppleCherry, AppleMango, AppleStrawberry",1 pouch,90,11,0.12,0.4,0.7,60
169,Happy Baby,"Apple Beet Strawberry Kiwi, Happy Kid",1 pouch,90,5,0.05,0.2,0.3,60
170,Happy Baby,"Apple Blueberry Pomegranate, Happy Kid",1 pouch,90,3,0.03,0.1,0.2,60
171,Happy Baby,"Apple Kale & Bluebeery, Organic, Twist",1 pouch,90,7,0.08,0.2,0.5,60
172,Happy Baby,"Apple Kale Blueberry, Happy Kid",1 pouch,90,7,0.08,0.2,0.5,60
173,Happy Baby,"Apple Kale Mango, Happy Kid",1 pouch,90,7,0.08,0.2,0.5,60
174,Happy Baby,"Apple, Blueberries & Oats, Stage 2, Clearly Crafted",4 oz,113,24,0.21,0.7,1.6,80
175,Happy Baby,"Apple, Blueberry and Beet, Carrot, Rice Cakes",4 Cakes,6,23,3.8,0.4,1.5,20
176,Happy Baby,"Apple, Mangos & Beets, Stage 2, Clearly Crafted",1 Jar,113,9,0.08,0.4,0.6,70
177,Happy Baby,"Apple, Oats & Cinnamon, Stage 2, Clearly Crafted",1 Jar,113,20,0.18,0.6,1.3,70
178,Happy Baby,"Apple, Spinach, Pea & Kiwi, Organic, Coconut Creamies",7 g,7,20,2.85,0.5,1.3,30
179,Happy Baby,"Apple, Strawberry & Beet, Happy Squeeze",99 g,99,53,0.54,1,3.6,70
180,Happy Baby,"Apple, Sweet Potatoes & Greanola, Stage 2, Clearly Crafted",1 Pouch,113,33,0.29,0.8,2.2,70
181,Happy Baby,"Apples & Blueberries, Stage 2, Clearly Crafted",1 Jar,113,6,0.05,0.2,0.4,70
182,Happy Baby,"Apples & Butternut Squash & Super Chia, Stage 4",1 Pouch,120,59,0.49,1,3.9,60
183,Happy Baby,"Apples & Spinach, Stage 2, Clearly Crafted",1 Jar,113,14,0.12,0.4,0.9,70
